Ticker,ABR,ACI,COMP,DKNG,DOW,FUN,HLF,HPQ,HUN,KGC,LUMN,LYFT,MOS,OI,PZZA,SPY,WEN,WU
ABR,1.0,-0.05488624686394776,-0.1401349614118462,0.093801712812016,0.10433787730350973,0.1666754196342039,-0.26466952067715355,0.16926794536390047,0.026728930441472377,0.20809112534566987,0.29556553174655836,0.25008481035944474,0.08705904026347848,-0.2034614567154858,0.13199729835772459,0.4051926054689476,0.11461311157065669,0.3119173217838411
ACI,-0.05488624686394776,1.0,-0.09259161177623267,-0.0400704076631394,0.14837156325332257,-0.16715273585907942,0.11424360448291596,0.2470424077750403,0.23269421355647668,0.04345769035660784,-0.016168130412807055,0.17858134710842857,0.0525590018342579,-0.251861423010917,0.09866076999790192,-0.1592230793237118,0.12315891866761673,0.14287545377228594
COMP,-0.1401349614118462,-0.09259161177623267,1.0,-0.23257102922436065,-0.22557796131047414,0.2744980525452103,0.2312681549847106,-0.22230420775353563,-0.002097653204353802,-0.3134799575038541,-0.4322080752174697,-0.03953316422702083,0.016747086599662973,0.29017238075117074,0.04397826959618637,0.02816870130174893,0.5641910525932486,0.17314136298831773
DKNG,0.093801712812016,-0.0400704076631394,-0.23257102922436065,1.0,0.39032928511196197,0.39094152562150747,0.29167401328151277,0.5573067465553703,0.24231108098227044,-0.04154452805342793,0.3534615516491974,0.1433445854870276,0.12013152208238184,-0.11611667600734998,-0.09687464997380517,0.17365078534817882,-0.17650513113670743,0.040079928140546534
DOW,0.10433787730350973,0.14837156325332257,-0.22557796131047414,0.39032928511196197,1.0,0.3311089172441277,-0.057410775808795465,0.6778159446298458,0.7783243202998296,0.020300507337758948,0.23063403055188808,0.022420627101533953,0.43786775246511156,-0.2573377652577796,-0.16856313603911752,0.1032639427404869,0.17177636393231005,-0.16339764643166255
FUN,0.1666754196342039,-0.16715273585907942,0.2744980525452103,0.39094152562150747,0.3311089172441277,1.0,-0.2018831962280753,0.22090203599218472,0.3049631589512146,-0.31279103354534815,0.013046293051476263,-0.017259204456013363,0.18757865993160933,-0.003212311875676409,0.2241906343159125,-0.054174700635975716,0.23151809787678237,-0.22201504307975334
HLF,-0.26466952067715355,0.11424360448291596,0.2312681549847106,0.29167401328151277,-0.057410775808795465,-0.2018831962280753,1.0,0.06747565328694806,0.07352959763568508,-0.07105975312158493,0.2193192659209091,0.35810484705437945,0.005090346850179895,0.21514173896154182,0.2646572066031965,0.22305977595706256,-0.07459485470469521,0.5357125702858716
HPQ,0.16926794536390047,0.2470424077750403,-0.22230420775353563,0.5573067465553703,0.6778159446298458,0.22090203599218472,0.06747565328694806,1.0,0.4177986677997287,0.08440280863310519,0.24761658659100128,0.17053874717679782,0.21130276528875797,-0.2732633887119274,-0.057262776142125535,0.19683799424519807,0.06602013311312654,-0.0729815270909967
HUN,0.026728930441472377,0.23269421355647668,-0.002097653204353802,0.24231108098227044,0.7783243202998296,0.3049631589512146,0.07352959763568508,0.4177986677997287,1.0,0.042847104374811096,0.011528666071428273,-0.11556005379496068,0.5474854519839348,-0.04456566270530312,-0.25913589791197433,0.0011277714515120533,0.17536675254461723,-0.05927960306681579
KGC,0.20809112534566987,0.04345769035660784,-0.3134799575038541,-0.04154452805342793,0.020300507337758948,-0.31279103354534815,-0.07105975312158493,0.08440280863310519,0.042847104374811096,1.0,-0.024296686681483246,0.27354457530798226,0.3548239432911449,-0.11313464173330269,0.16552140844457705,0.05197637781716882,-0.05178428657716148,0.053550543287989055
LUMN,0.29556553174655836,-0.016168130412807055,-0.4322080752174697,0.3534615516491974,0.23063403055188808,0.013046293051476263,0.2193192659209091,0.24761658659100128,0.011528666071428273,-0.024296686681483246,1.0,0.2935658039751413,-0.046324750986101726,-0.3543721972383799,0.10389850020552659,0.17293946589816267,-0.5216081497743847,0.1849035758115502
LYFT,0.25008481035944474,0.17858134710842857,-0.03953316422702083,0.1433445854870276,0.022420627101533953,-0.017259204456013363,0.35810484705437945,0.17053874717679782,-0.11556005379496068,0.27354457530798226,0.2935658039751413,1.0,0.041591268542432544,-0.23811186147514538,0.519875353199466,0.1396919892849233,0.13974542837510084,0.5652646745594926
MOS,0.08705904026347848,0.0525590018342579,0.016747086599662973,0.12013152208238184,0.43786775246511156,0.18757865993160933,0.005090346850179895,0.21130276528875797,0.5474854519839348,0.3548239432911449,-0.046324750986101726,0.041591268542432544,1.0,0.17380493059303562,0.026674825255404884,0.23270848975157585,0.3426155146203144,0.1131112285742785
OI,-0.2034614567154858,-0.251861423010917,0.29017238075117074,-0.11611667600734998,-0.2573377652577796,-0.003212311875676409,0.21514173896154182,-0.2732633887119274,-0.04456566270530312,-0.11313464173330269,-0.3543721972383799,-0.23811186147514538,0.17380493059303562,1.0,-0.04381282600645161,0.07683936798802601,0.16084567902145033,0.22059121678441482
PZZA,0.13199729835772459,0.09866076999790192,0.04397826959618637,-0.09687464997380517,-0.16856313603911752,0.2241906343159125,0.2646572066031965,-0.057262776142125535,-0.25913589791197433,0.16552140844457705,0.10389850020552659,0.519875353199466,0.026674825255404884,-0.04381282600645161,1.0,0.08793911760828393,-0.0009242323625306446,0.23883923851896563
SPY,0.4051926054689476,-0.1592230793237118,0.02816870130174893,0.17365078534817882,0.1032639427404869,-0.054174700635975716,0.22305977595706256,0.19683799424519807,0.0011277714515120533,0.05197637781716882,0.17293946589816267,0.1396919892849233,0.23270848975157585,0.07683936798802601,0.08793911760828393,1.0,0.1625716538630846,0.48458906036368
WEN,0.11461311157065669,0.12315891866761673,0.5641910525932486,-0.17650513113670743,0.17177636393231005,0.23151809787678237,-0.07459485470469521,0.06602013311312654,0.17536675254461723,-0.05178428657716148,-0.5216081497743847,0.13974542837510084,0.3426155146203144,0.16084567902145033,-0.0009242323625306446,0.1625716538630846,1.0,0.12028402750259994
WU,0.3119173217838411,0.14287545377228594,0.17314136298831773,0.040079928140546534,-0.16339764643166255,-0.22201504307975334,0.5357125702858716,-0.0729815270909967,-0.05927960306681579,0.053550543287989055,0.1849035758115502,0.5652646745594926,0.1131112285742785,0.22059121678441482,0.23883923851896563,0.48458906036368,0.12028402750259994,1.0
