Ticker,ABR,ACI,COMP,DKNG,DOW,FUN,HLF,HPQ,HUN,KGC,LUMN,LYFT,MOS,OI,PZZA,SPY,WEN,WU
ABR,1.0,0.08493149007396726,0.23583422097918383,0.15433039545899507,0.10382400024195974,0.29484670047351486,0.18623662847639424,0.15632523352128258,0.17265184615633242,0.2134215964281631,0.11894894190411705,0.21340712505364767,0.17920543124402255,0.22939040177954753,0.14551670237833966,0.23054958124227634,0.09095049378311103,0.14654721995238665
ACI,0.08493149007396726,1.0,-0.022906069698321416,0.0700041717106305,0.14025321031091792,0.025938284371557686,0.045880365867422696,0.16067544461779926,0.0689825417261205,-0.03481120822868561,-0.05335820832918255,0.05313340649252703,0.04339257131006621,0.10383403419951909,0.07072713644978762,-0.07136155159988666,0.1535938849224715,0.12778406695649
COMP,0.23583422097918383,-0.022906069698321416,1.0,0.12635409060266717,-0.22656801776267982,0.2836851056446796,0.2902593772720854,0.08509581655586398,0.08201005897799377,0.2259676931657671,0.05585719000694191,0.2948934923816108,0.10887206413277352,0.32202133517696696,0.04052554409335074,0.42152342978706275,0.19690954114611608,0.1643525881952346
DKNG,0.15433039545899507,0.0700041717106305,0.12635409060266717,1.0,0.11529340765259471,0.1413668963612047,0.10275882993344967,0.22190571043356136,0.14766141796545548,0.042977829953908454,0.023008556703983295,0.27064104426563296,0.1287129854902336,0.14376119918715893,0.13121629807033797,0.17149743046830887,0.1528996860818689,0.0865188383243646
DOW,0.10382400024195974,0.14025321031091792,-0.22656801776267982,0.11529340765259471,1.0,0.08725382993366922,-0.0018482219478315948,0.1730567631294921,0.5451139844638303,-0.022880435332771905,0.08005210388411976,-0.018097354222509555,0.31753167497775836,-0.021057733892072605,0.07798373530633412,-0.00351273248124307,-0.004334537201570381,0.11480021302927856
FUN,0.29484670047351486,0.025938284371557686,0.2836851056446796,0.1413668963612047,0.08725382993366922,1.0,0.24572360263646476,0.20335481324906807,0.18878290818874566,0.049712333839009894,0.06518198018827483,0.15640177856094672,0.09239667915151353,0.23560238758560906,0.13672182056329654,0.29244349229721134,0.23959733709323383,0.14675726105441989
HLF,0.18623662847639424,0.045880365867422696,0.2902593772720854,0.10275882993344967,-0.0018482219478315948,0.24572360263646476,1.0,0.1469133136090437,0.1413787152449227,0.12738490351210807,0.11344723831520176,0.19177195306494252,0.11038661403060784,0.36539092485472885,0.15181565988432463,0.25010791331098237,0.1984690177318522,0.13960214371224897
HPQ,0.15632523352128258,0.16067544461779926,0.08509581655586398,0.22190571043356136,0.1730567631294921,0.20335481324906807,0.1469133136090437,1.0,0.14289340995635377,0.008261933600559634,0.140847780171352,0.24830456190890604,0.13342489743006372,0.04762379533565171,0.02757014314076445,0.2133984667728221,0.19323635278158324,0.19467741282548395
HUN,0.17265184615633242,0.0689825417261205,0.08201005897799377,0.14766141796545548,0.5451139844638303,0.18878290818874566,0.1413787152449227,0.14289340995635377,1.0,0.20625334467943046,0.14864129799148487,-0.0011231191374369374,0.4080278219149456,0.24754530368323038,0.04882407600704537,0.2658807239377639,0.09681054506094265,0.30834903692006266
KGC,0.2134215964281631,-0.03481120822868561,0.2259676931657671,0.042977829953908454,-0.022880435332771905,0.049712333839009894,0.12738490351210807,0.008261933600559634,0.20625334467943046,1.0,0.13526566540287602,0.21412243043370388,0.31011192216533395,0.21587391537270625,0.1019722604596403,0.41277385188992277,-0.027233651209660266,-0.0023750402577715516
LUMN,0.11894894190411705,-0.05335820832918255,0.05585719000694191,0.023008556703983295,0.08005210388411976,0.06518198018827483,0.11344723831520176,0.140847780171352,0.14864129799148487,0.13526566540287602,1.0,0.18707272144208625,0.10937461928750972,0.07074803281087061,0.052266431917809865,0.4552394174641232,-0.025565925318801534,0.03928559836557833
LYFT,0.21340712505364767,0.05313340649252703,0.2948934923816108,0.27064104426563296,-0.018097354222509555,0.15640177856094672,0.19177195306494252,0.24830456190890604,-0.0011231191374369374,0.21412243043370388,0.18707272144208625,1.0,0.11469167955042693,0.15452445421287803,0.13114146389365078,0.3666597919102259,0.15178533150101484,0.09771562528308647
MOS,0.17920543124402255,0.04339257131006621,0.10887206413277352,0.1287129854902336,0.31753167497775836,0.09239667915151353,0.11038661403060784,0.13342489743006372,0.4080278219149456,0.31011192216533395,0.10937461928750972,0.11469167955042693,1.0,0.23452954805248422,0.1861543655352764,0.21385769899874443,0.15141280058666745,0.10805693846525309
OI,0.22939040177954753,0.10383403419951909,0.32202133517696696,0.14376119918715893,-0.021057733892072605,0.23560238758560906,0.36539092485472885,0.04762379533565171,0.24754530368323038,0.21587391537270625,0.07074803281087061,0.15452445421287803,0.23452954805248422,1.0,0.09525014921149712,0.2731208224568003,0.19921710223948913,0.17475640952786642
PZZA,0.14551670237833966,0.07072713644978762,0.04052554409335074,0.13121629807033797,0.07798373530633412,0.13672182056329654,0.15181565988432463,0.02757014314076445,0.04882407600704537,0.1019722604596403,0.052266431917809865,0.13114146389365078,0.1861543655352764,0.09525014921149712,1.0,0.10474996140848308,0.17786953632502733,0.1799966930746953
SPY,0.23054958124227634,-0.07136155159988666,0.42152342978706275,0.17149743046830887,-0.00351273248124307,0.29244349229721134,0.25010791331098237,0.2133984667728221,0.2658807239377639,0.41277385188992277,0.4552394174641232,0.3666597919102259,0.21385769899874443,0.2731208224568003,0.10474996140848308,1.0,0.05820295893904511,0.15121425680739353
WEN,0.09095049378311103,0.1535938849224715,0.19690954114611608,0.1528996860818689,-0.004334537201570381,0.23959733709323383,0.1984690177318522,0.19323635278158324,0.09681054506094265,-0.027233651209660266,-0.025565925318801534,0.15178533150101484,0.15141280058666745,0.19921710223948913,0.17786953632502733,0.05820295893904511,1.0,0.17992070381039496
WU,0.14654721995238665,0.12778406695649,0.1643525881952346,0.0865188383243646,0.11480021302927856,0.14675726105441989,0.13960214371224897,0.19467741282548395,0.30834903692006266,-0.0023750402577715516,0.03928559836557833,0.09771562528308647,0.10805693846525309,0.17475640952786642,0.1799966930746953,0.15121425680739353,0.17992070381039496,1.0
